epoch,loss,rmse_train,rmse_val
1,1.47402950522596e-12,1.2140961871409672e-06,
2,1.47402950522596e-12,1.2140961871409672e-06,
3,1.47402950522596e-12,1.2138203828726546e-06,
4,1.4729027763074608e-12,1.2135709539506934e-06,
5,1.4727544921447344e-12,1.2135709539506934e-06,
6,1.4727544921447344e-12,1.2135709539506934e-06,
7,1.4727544921447344e-12,1.2135709539506934e-06,
8,1.4727544921447344e-12,1.2135644738009432e-06,
9,1.4727387235083378e-12,1.2135644738009432e-06,
10,1.4727387235083378e-12,1.2135644738009432e-06,
11,1.4727387235083378e-12,1.2135644738009432e-06,
12,1.4727387235083378e-12,1.2135644738009432e-06,
13,1.4727387235083378e-12,1.2135644738009432e-06,
14,1.4727387235083378e-12,1.2135185443185037e-06,
15,1.472627284872241e-12,1.2134523785789497e-06,
16,1.4724301986013266e-12,1.2134373719163705e-06,
17,1.4724301986013266e-12,1.2134373719163705e-06,
18,1.4724270370677916e-12,1.2129190736231976e-06,
19,1.4711725631125217e-12,1.2129190736231976e-06,
20,1.4711725631125217e-12,1.2129190736231976e-06,
21,1.4711725631125217e-12,1.2129190736231976e-06,
22,1.4711725631125217e-12,1.2129190736231976e-06,
23,1.471127169735964e-12,1.212776396641857e-06,
24,1.4708265941992816e-12,1.212776396641857e-06,
25,1.4708265941992816e-12,1.212776396641857e-06,
26,1.4708265941992816e-12,1.212776396641857e-06,
27,1.4708265941992816e-12,1.212776396641857e-06,
28,1.4708265941992816e-12,1.212776396641857e-06,
29,1.4708265941992816e-12,1.212776396641857e-06,
30,1.4708265941992816e-12,1.212776396641857e-06,
31,1.4708265941992816e-12,1.212776396641857e-06,
32,1.4708265941992816e-12,1.212776396641857e-06,
33,1.4708265941992816e-12,1.212776396641857e-06,
34,1.4708265941992816e-12,1.212776396641857e-06,
35,1.4708265941992816e-12,1.212776396641857e-06,
36,1.4708265941992816e-12,1.212776396641857e-06,
37,1.4708265941992816e-12,1.212776396641857e-06,
38,1.4708265941992816e-12,1.212776396641857e-06,
39,1.4708265941992816e-12,1.212776396641857e-06,
40,1.4708265941992816e-12,1.212776396641857e-06,
41,1.4703707088697948e-12,1.2122584394091973e-06,
42,1.4695705850137353e-12,1.2122584394091973e-06,
43,1.4695705850137353e-12,1.2122584394091973e-06,
44,1.4695705850137353e-12,1.2122584394091973e-06,
45,1.4695705850137353e-12,1.2122584394091973e-06,
46,1.4695705850137353e-12,1.2122584394091973e-06,
47,1.4695705850137353e-12,1.2122584394091973e-06,
48,1.4695705850137353e-12,1.2122584394091973e-06,
49,1.4695705850137353e-12,1.2122584394091973e-06,
50,1.4695705850137353e-12,1.2122584394091973e-06,
51,1.4695705850137353e-12,1.2122584394091973e-06,
52,1.4695705850137353e-12,1.2122584394091973e-06,
53,1.4695705850137353e-12,1.2122584394091973e-06,
54,1.4695705850137353e-12,1.2122584394091973e-06,
55,1.4695705850137353e-12,1.2122584394091973e-06,
56,1.4695705850137353e-12,1.2122584394091973e-06,
57,1.4695705850137353e-12,1.2122584394091973e-06,
58,1.4695705850137353e-12,1.2122584394091973e-06,
59,1.4695705850137353e-12,1.2122584394091973e-06,
60,1.4695705850137353e-12,1.2122584394091973e-06,
61,1.4695705850137353e-12,1.2122584394091973e-06,
62,1.4695705850137353e-12,1.2122584394091973e-06,
63,1.4695705850137353e-12,1.2122584394091973e-06,
64,1.4695705850137353e-12,1.2122584394091973e-06,
65,1.4695705850137353e-12,1.2122584394091973e-06,
66,1.4695705850137353e-12,1.2122584394091973e-06,
67,1.4695705850137353e-12,1.2122584394091973e-06,
68,1.4695705850137353e-12,1.2122584394091973e-06,
69,1.4695705850137353e-12,1.2122584394091973e-06,
70,1.4695705850137353e-12,1.2122584394091973e-06,
71,1.4695705850137353e-12,1.2121864756409195e-06,
72,1.4692850755504417e-12,1.2121313375246245e-06,
73,1.469262315978437e-12,1.2121313375246245e-06,
74,1.469262315978437e-12,1.2121313375246245e-06,
75,1.469262315978437e-12,1.2121313375246245e-06,
76,1.469262315978437e-12,1.2121313375246245e-06,
77,1.469262315978437e-12,1.2121313375246245e-06,
78,1.469262315978437e-12,1.2121313375246245e-06,
79,1.469262315978437e-12,1.2121313375246245e-06,
80,1.469262315978437e-12,1.2121313375246245e-06,
81,1.469262315978437e-12,1.2121313375246245e-06,
82,1.469262315978437e-12,1.2121313375246245e-06,
83,1.469262315978437e-12,1.2121313375246245e-06,
84,1.469262315978437e-12,1.2121313375246245e-06,
85,1.469262315978437e-12,1.2121313375246245e-06,
86,1.469262315978437e-12,1.2121313375246245e-06,
87,1.469262315978437e-12,1.2121313375246245e-06,
88,1.469262315978437e-12,1.2121313375246245e-06,
89,1.469262315978437e-12,1.2121313375246245e-06,
90,1.469262315978437e-12,1.2121313375246245e-06,
91,1.469262315978437e-12,1.2121313375246245e-06,
92,1.469262315978437e-12,1.2121313375246245e-06,
93,1.469262315978437e-12,1.2121313375246245e-06,
94,1.469262315978437e-12,1.2121313375246245e-06,
95,1.469262315978437e-12,1.2121313375246245e-06,
96,1.469262315978437e-12,1.2121313375246245e-06,
97,1.469262315978437e-12,1.2121313375246245e-06,
98,1.469262315978437e-12,1.2121313375246245e-06,
99,1.469262315978437e-12,1.2121313375246245e-06,
